answerKey,question,choices
C,Where do you go on a night out before going to the bar?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new york city', 'las vegas', 'restaurant', 'nightclub', 'park'],
      dtype=object)}"
D,"The dad wanted to protect his house, where did he put his gun?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['police station', 'crime scene', 'restroom', 'drawer', 'holster'],
      dtype=object)}"
E,What instrument can be played with an air of happiness?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['jump up and down', 'jump up and down', 'sing', 'play games',
       'fiddle'], dtype=object)}"
E,What to kids do for boredom on a ramp?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['watch film', 'fire game', 'hang out at bar', 'go skiing',
       'skateboard'], dtype=object)}"
E,What animal has quills all over it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feather', 'chicken', 'calligraphy', 'porcupine', 'hedgehog'],
      dtype=object)}"
A,Why would you go to an office?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['work', 'school building', 'paper', 'city', 'habit'], dtype=object)}"
B,When is the worst time for having food?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['digesting', 'not hungry', 'gas', 'weight gain',
       'feeling of fullness'], dtype=object)}"
E,If you spend all your time buying and not saving what is is likely to happen?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['using money', 'feel better', 'ocean', 'losing money', 'go broke'],
      dtype=object)}"
C,"Though a mouse might prefer your house, you might also see him where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tin', 'department store', 'garden', 'small hole', 'cupboard'],
      dtype=object)}"
B,What is performing a type of?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['singing', 'act', 'feat', 'smile', 'acting'], dtype=object)}"
A,"The car was going from Alabama to New York, what was its goal?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['head north', 'speed up', 'heading north', 'go fast',
       'headed south'], dtype=object)}"
E,What do they call the trash in Australia?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dirt', 'subway', 'state park', 'container', 'dustbin'],
      dtype=object)}"
A,"Joan wants to cook a potato, where should she place it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['boiling water', 'paper bag', 'restaurants', 'underground',
       'cupboard'], dtype=object)}"
D,Writers with a great what can amass a large fortune?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cookie', 'bank', 'real estate', 'imagination', 'bank roll'],
      dtype=object)}"
C,Where do all animals live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['the moon', 'fairgrounds', 'surface of earth', 'meadow', 'zoos'],
      dtype=object)}"
A,How are the conditions for someone who is living in a homeless shelter?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sometimes bad', 'happy', 'respiration', 'growing older', 'death'],
      dtype=object)}"
A,You can do knitting to get the feeling of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['relaxation', 'arthritis', 'adrenaline', 'your',
       'sweater may produced'], dtype=object)}"
B,What might a very large table be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dining room', 'conference', 'kitchen', 'in a lake',
       'demonstration'], dtype=object)}"
C,John got his tax refund back.  He treated it like it was what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['candy', 'death and', 'free money', 'discount', 'credit'],
      dtype=object)}"
E,A person with an allergy might be doing what if they awake suddenly?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have fun', 'enjoy with friends', 'stretch', 'yawn', 'sneezing'],
      dtype=object)}"
A,Where is a ferret unlikely to be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['classroom', 'outdoors', 'aquarium', 'north carolina',
       'great britain'], dtype=object)}"
B,If you jump in any of the oceans you will get?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tanned', 'wet', 'wide', 'very deep', 'fish'], dtype=object)}"
B,"Immediately after peeing, a person's bladder is what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['collapsed', 'empty', 'full', 'filled', 'stretchable'],
      dtype=object)}"
D,"The lady would eat and eat, and because of mental issues would then make herself what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wash dishes', 'throwing up', 'drinking', 'throw up',
       'turn inside out'], dtype=object)}"
A,"A car was hailed to chauffeur someone to the opera house, where was it heading?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['go downtown', 'appear suddenly', 'go fast', 'bottom out', 'east'],
      dtype=object)}"
B,What do you go to see for live entertainment?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['movie', 'show', 'concert venue', 'casino', 'theatre'],
      dtype=object)}"
C,The teacher thought that a ferret can be very mischievous and probably wouldn't make a great pet for the entire what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bad mood', 'hutch', 'classroom', 'pair of trousers', 'year'],
      dtype=object)}"
B,A creek is a body of water found in what low land?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forest', 'valley', 'outdoors', 'countryside', 'woods'],
      dtype=object)}"
E,"If I have a pet bird, what does it likely live in?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forest', 'bathroom', 'windowsill', 'countryside', 'cage'],
      dtype=object)}"
B,Joe and Mac were playing basketball. They did it every day in their back yard.  Why were they playing basketball?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['study', 'have fun', 'pain', 'cheers', 'knee injury'], dtype=object)}"
C,What makes someone a nomad?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['unpleasant things', 'hangnail', 'have no home', 'have no car',
       'schizophrenia'], dtype=object)}"
D,What is a treat that you dog will enjoy?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['salad', 'petted', 'affection', 'bone', 'lots of attention'],
      dtype=object)}"
B,Women used to be expected to wear a dress but it's now acceptable for them to wear what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['man suit', 'pants', 'naked', 'action', 'long skirt'], dtype=object)}"
A,The fact that Joe was able to memorize the list in spite of his apparent  state proved that part of his brain was what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['awake', 'repeat', 'sleeping', 'concentrate', 'read aloud'],
      dtype=object)}"
C,What is a wet person likely to do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gain weight', 'thank god', 'catch cold', 'suicide',
       'cross street'], dtype=object)}"
A,"After recovering from the disease, what did the doctor call the patient?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['healthy', 'passing around', 'cure', 'wellness', 'healthy'],
      dtype=object)}"
E,"The painter started to edge the room with tape, he always took extra care to make the lines clean and crisp when working with an what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['triangle', 'middle', 'corner', 'center', 'interior'], dtype=object)}"
D,"After high tide, where on the coast can you look to find a sea anemone?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nursery', 'museum', 'gulf of mexico', 'tide pool',
       'intertidal zone'], dtype=object)}"
B,What could a driving car do to a pedestrian?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['say hello', 'wreak', 'pollution', 'smoke', 'relaxation'],
      dtype=object)}"
D,People do many things to alleviate boredom.  If you can't get out of the house you might decide to do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['play cards', 'skateboard', 'meet interesting people',
       'listen to music', 'go to a concert'], dtype=object)}"
D,"At a grocery store they sell individual potatoes, where does the grocery clerk likely put the potato?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['boiling water', 'root cellar', 'rocket ship', 'paper bag',
       'underground'], dtype=object)}"
E,What room is a rubber bath mat usually kept?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['doorway', 'living room', 'sand', 'floors', 'bathroom'],
      dtype=object)}"
E,What would you put meat on top of to cook it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['oil', 'freezer', 'ham sandwich', 'oven', 'frying pan'],
      dtype=object)}"
A,Minerals can be obtained in what way for a person who avoids leafy greens?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['multivitamin', 'farm', 'michigan', 'earth', 'ore'], dtype=object)}"
A,What could you be a few hours after you finish cashing in due to your cash?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['happy', 'receiving money', 'getting paid', 'spending money',
       'selling out'], dtype=object)}"
C,"The smelly man was having a bath, but what is he pursuing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hydration', 'being clear', 'personal cleanliness', 'will drown',
       'use of water'], dtype=object)}"
E,What might a couple have a lot of when they are deciding on stopping being married to each other?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pleasure', 'detachment', 'exercise', 'bankruptcy', 'fights'],
      dtype=object)}"
A,"If a person is working a lot, what are they likely trying to earn?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['much money', 'own house', 'creativity', 'new car', 'caregiver'],
      dtype=object)}"
C,"The traveling business man was glad his credit card had perks, it offset the high prices for travel from a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car', 'theatre', 'airport', 'hotel', 'disneyland'], dtype=object)}"
D,"Billy hated using other people's toilets. He was only comfortable on his own.  So whenever he needed to poop, he would go back to his what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bathroom', 'motel room', 'nearest public restroom', 'house',
       'apartment'], dtype=object)}"
D,"The forest experienced a cold winter, where is it located?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['earth', 'south america', 'amazon basin', 'temperate zone',
       'national park'], dtype=object)}"
D,How can you let someone know about your anger without hurting him or her?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['release energy', 'destroy enemy', 'punch', 'write letter',
       'lose your temper'], dtype=object)}"
A,Where is one likely to find a brownstone?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new york city', 'subdivision', 'ring', 'hazleton', 'live in'],
      dtype=object)}"
B,What language type is someone from Iran likely to use?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['books', 'dard', 'sky', 'closed room', 'television'], dtype=object)}"
E,"John went to a party that lasted all night.  Because of this, he didn't have time for what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['meeting', 'blowing off steam', 'stay home', 'partying hard',
       'studying'], dtype=object)}"
A,"The child wasn't allowed in the kitchen but still wanted to help, what could it do to help in the dining room?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['set table', 'form opinions', 'make honey', 'become adult',
       'gather flowers'], dtype=object)}"
C,"He was having a hard time expressing himself in a healthy way, the psychologist said he was mentally what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['slow', 'understood', 'suffering', 'embarrassment', 'fun'],
      dtype=object)}"
E,When someone is physically competing what does their body do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tension', 'perform better', 'releases heat', 'winning or losing',
       'sweat'], dtype=object)}"
C,How would you express information to a deaf person?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['summarize main points', 'close mouth', 'write down',
       'may disagree', 'talk'], dtype=object)}"
B,Printing on a printer can get expensive because it does what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['explode', 'use paper', 'store information', 'queue', 'noise'],
      dtype=object)}"
B,What will god never do according to religion?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['anything', 'judge people', 'work miracles', 'judge men',
       'everywhere'], dtype=object)}"
D,One of the potential hazards of attending school is what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cooties', 'get smart', 'boredom', 'colds and flu', 'taking tests'],
      dtype=object)}"
A,What has a surface with many sides?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tetrahedron', 'object', 'geometry problem', 'lake', 'triangle'],
      dtype=object)}"
C,What could bring a container from one place to another?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['food', 'refrigerator', 'cargo ship', 'port', 'fuel'], dtype=object)}"
C,The old style pop ups literally let you see the story when you did what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['giggle', 'visualize', 'open book', 'reading', 'go to movies'],
      dtype=object)}"
A,What is it called when you are talking to someone?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['communication', 'quiet', 'boredom', 'persuaded', 'learn'],
      dtype=object)}"
E,Where could you find a bureau as well as many politicians?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['each city', 'office building', 'a zoo', 'french government',
       'washington dc'], dtype=object)}"
B,"Dad wanted to hide the check in his office, where did he put it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cash register', 'desk drawer', 'fish tank', 'bank',
       'pay envelope'], dtype=object)}"
A,"For some reason she was devoid of regular emotions, buying products was the only way she could feel what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pleasure', 'owning', 'debt', 'spending money', 'smart'],
      dtype=object)}"
B,Where are horses judged on appearance?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['race track', 'fair', 'raised by humans', 'in a field',
       'countryside'], dtype=object)}"
A,While knitting you can do what using a radio?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['listen to music', 'watch television', 'making blankets', 'eat',
       'watching tv'], dtype=object)}"
A,Where are you likely to set papers while working on them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['table', 'meeting', 'drawer', 'toilet', 'garage'], dtype=object)}"
C,"John had a massive debt to 50 million dollars.  Compared to that, Leo's 2000 dollar debt seemed what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dwarf', 'inconsequential', 'insubstantial', 'lame', 'tiny'],
      dtype=object)}"
C,"The man flew his airplane over the city and saw pollution visibly in the sky, what was polluted?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forest', 'street', 'air', 'caused by humans', 'car show'],
      dtype=object)}"
E,What is a very unlikely side effect of becoming inebriated?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fights', 'drunkenness', 'staggering', 'puke', 'paralysis'],
      dtype=object)}"
B,when communicating with my boss what should i do,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['misunderstandings', 'transfer of information', 'learning',
       'confusion', 'silence'], dtype=object)}"
C,If not in a stream but in a market where will you find fish?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stream', 'aquarium', 'refrigerator', 'boat ride', 'market'],
      dtype=object)}"
E,What are people likely to want to do with their friends?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own land', 'own home', 'talk to each other', 'believe in god',
       'spend time'], dtype=object)}"
E,During a shark filled tornado where should you not be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['marine museum', 'pool hall', 'noodle house', 'bad movie',
       'outside'], dtype=object)}"
E,What is the likely result of buying products in excess?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['running out of money', 'spending money', 'poverty',
       'comparison shopping', 'overstocking'], dtype=object)}"
B,What is a person trying to accomplish when taking analgesics?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['acceptance', 'avoid pain', 'acknowledgment', 'passing grade',
       'intellectual challenge'], dtype=object)}"
D,Where would you put a glass after drinking from it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ocean', 'water cooler', 'cabinet', 'dishwasher', 'dining room'],
      dtype=object)}"
B,Where would you buy food?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['freezer', 'store', 'home', 'hatred', 'kitchen'], dtype=object)}"
E,"When a person admits his mistakes, what are they doing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['accident', 'learn to swim', 'thank god', 'feel relieved',
       'act responsibly'], dtype=object)}"
A,Where do play a game for money?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['casino', 'football ground', 'ballpark', 'family room',
       'toy store'], dtype=object)}"
E,When you travel you should what in case of unexpected costs?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['go somewhere', 'energy', 'spend frivilously', 'fly in airplane',
       'have money'], dtype=object)}"
E,"Donald is a prominent figure for the federal government, so in what city does he likely spend a lot of time?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['everything', 'capitol building', 'tourist sites', 'canada',
       'washington d.c'], dtype=object)}"
C,"There was more than one bum asking for change or a ticket, it was the cheapest way to travel so it was no surprise sight at the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['train station', 'beach', 'bus depot', 'bridge', 'stumblebum'],
      dtype=object)}"
D,John and Joe like planning games but Joe  was hit by a ball and fell down. What might have happened to Joe.,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['anger', 'good natured ribbing.', 'enjoying', 'injury',
       'enjoyment'], dtype=object)}"
B,Where can you buy jeans at one of may indoor merchants?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gap', 'shopping mall', 'bedroom', 'laundromat', 'bathroom'],
      dtype=object)}"
D,What do you write letter in in America?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['syllable', 'post office', 'envelope', 'english alphabet', 'word'],
      dtype=object)}"
E,Joe owned back taxes as well as what other type of taxes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['anterior', 'front', 'main', 'front', 'current'], dtype=object)}"
C,Where is a broadcast studio likely to be heard?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['microphone', 'arena', 'radio station', 'trees', 'town'],
      dtype=object)}"
B,Kramer wrote a self-referential book.  What might that book be about?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['counter', 'coffee table', 'school room', 'backpack',
       'bedside table'], dtype=object)}"
E,"Of all the sports, Billy enjoys football, but what does his concerned mother think of the sport?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['very entertaining', 'fun', 'slow', 'competitive', 'violent'],
      dtype=object)}"
A,What city will likely have many parking structures?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['chicago', 'big city', 'large city building', 'environment',
       'college campus'], dtype=object)}"
D,Sally was afraid of danger and always double checked what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fight enemy', 'secure', 'being safe', 'safety', 'vicinity'],
      dtype=object)}"
E,What is the habitat of the fox?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hen house', 'burrow', 'california', 'england', 'mountains'],
      dtype=object)}"
B,"People are very much like the animals, but one thing has secured or dominance over the planet.  We're better at doing what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eat eggs', 'make tools', 'eat dosa', 'talk to each other',
       'smoke pot'], dtype=object)}"
B,"They children loved having a back yard, and the parents loved that it was a safe what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['suburb', 'neighborhood', 'back of house', 'roundabout',
       'property'], dtype=object)}"
D,"While people just throw coins down them now, what originally had a pail to be lowered for it's intended use?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['garage', 'utility room', 'slide', 'wishing well', 'garden'],
      dtype=object)}"
D,Joe was thrown from his boat into the water.  The water was cold because it was the middle of winter and he cried out to his crew for help.  They couldn't hear him over the sound of the what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['surface of earth', 'teardrops', 'snowflake', 'typhoon', 'motor'],
      dtype=object)}"
B,"They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['maryland', 'indiana', 'on tv', 'park', 'new jersey'], dtype=object)}"
B,Why do people play chess on the weekends?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['satisfaction', 'have fun', 'thrilling', 'made', 'smart'],
      dtype=object)}"
D,What do you need energy to do in gym class?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['work', 'tacos', 'mass', 'play sports', 'wrestle'], dtype=object)}"
A,Sarah dropped the marble because she wanted to do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['game', 'pouch', 'home', 'store', 'jar'], dtype=object)}"
E,"We are all human, and we all what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['write', 'eat cake', 'smile', 'think critically', 'die'],
      dtype=object)}"
D,"If a person were going to bed, what would be their goal?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lazy', 'insomnia', 'rest', 'falling asleep', 'dreaming of'],
      dtype=object)}"
E,What are candles good for eliminating?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shelf', 'board', 'church', 'table', 'dark'], dtype=object)}"
B,WHat leads to an early death?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['poisonous gas', 'homicide', 'cinder', 'nuclear weapons',
       'cyanide'], dtype=object)}"
A,What room would you find many bookcases and is used for contemplation?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['study', 'house', 'homw', 'kitchen', 'den'], dtype=object)}"
C,Where do you head to travel to a star?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['night sky', 'galaxy', 'outer space', 'hollywood', 'eat cake'],
      dtype=object)}"
C,"The player lifted his cornet and walked in rhythm, what was the player a member of?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['museum', 'high school band', 'marching band', 'orchestra', 'band'],
      dtype=object)}"
B,What happens at soon as a living being is born?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['expiration', 'growing older', 'sometimes bad', 'death',
       'start reproduction'], dtype=object)}"
B,"When someone is talking and you missed something, what can you do to get them to repeat it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['walking', 'ask question', 'think', 'write question in crayon',
       'sneeze'], dtype=object)}"
A,Where does one store fabric in their own home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sewing room', 'clothing store', 'tailor shop', 'clothes store',
       'cotton mill'], dtype=object)}"
A,What do most companies not want to have relative to demand?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['oversupply', 'plentitude', 'stockpile', 'superabundance', 'busy'],
      dtype=object)}"
A,What is happening while he's playing basketball for such a long time?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sweating', 'pain', 'having fun', 'medium', 'knee injury'],
      dtype=object)}"
A,A traveler laments the fact that mass transit is limited in his city when his groceries get soaked by the rain as he waits where?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bus stop', 'library', 'motel', 'airport', 'subway'], dtype=object)}"
C,"The person was in physical distress, where should he go?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['synagogue', 'for help', 'hospital', 'bus stop', 'building'],
      dtype=object)}"
B,"The cancer patient was expecting to die, so he made out his what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['not to live', 'write will', 'never want', 'seek help',
       'go to hell'], dtype=object)}"
B,"There was a toll road that meandered from Maine to New Hampshire, where was it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['massachusetts', 'new england', 'my house', 'new jersey',
       'connecticut'], dtype=object)}"
A,"If you partied all night you could find yourself already what, even when just beginning work?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['getting tired', 'working', 'procrastination', 'jumping',
       'sitting down'], dtype=object)}"
A,"The cat carefully navigated the area, they do everything they can to avoid what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['get wet', 'eat vegetables', 'falling', 'wool sweater',
       'sharp claws'], dtype=object)}"
A,What is someone usually doing if someone else is talking to him or her?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['listening', 'language', 'looking at eyes',
       'planning the perfect murder', 'voice'], dtype=object)}"
E,What does the sky do before a rain?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['appear beautiful', 'appear blue', 'shows a rainbow', 'rain water',
       'cloud over'], dtype=object)}"
B,"Pens, computers, text books and paper clips can all be found where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['desktop', 'university', 'drawer', 'table', 'work'], dtype=object)}"
B,What geographic area is a lizard likely to be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ball stopped', 'west texas', 'arid regions', 'garden',
       'warm place'], dtype=object)}"
E,What do you use to carry your briefcase?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['office building', 'school', 'courtroom', 'airport', 'hand'],
      dtype=object)}"
E,"He picked up his pace to a run, he wanted to do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['learn to walk', 'frightened', 'get away from', 'exercise',
       'go faster'], dtype=object)}"
D,What would a person do if they do not have any friends?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['talk to people', 'try again', 'fall asleep', 'stand alone',
       'thank god'], dtype=object)}"
D,"As a result of dying, what happens to organic material?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['change of color', 'stop breathing', 'wake up', 'death and decay',
       'getting cold'], dtype=object)}"
A,What does everyone have in relation to other people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feelings', 'food', 'unique personality', 'different standards',
       'values'], dtype=object)}"
D,What do you ask a child to do when you first meet her?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ask questions', 'count to ten', 'costume', 'state name',
       'dress herself'], dtype=object)}"
E,"Where can you buy a clock, clothing and wrenches?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['counter', 'train station', 'school room', 'desk',
       'department store'], dtype=object)}"
B,What do you do when you're in a new place and want to see new things?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['interesting', 'look around', 'take pictures',
       'change of surroundings', 'new experience'], dtype=object)}"
